info: Apr-07-2023 18:10:57: 	 undefined - File Created - / - GET - ::ffff:127.0.0.1
info: Apr-10-2023 13:54:57: 	 /task/78 - ::ffff:127.0.0.1
info: Apr-10-2023 13:55:31: 	 /task/78 - ::ffff:127.0.0.1
info: Apr-10-2023 13:55:57: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 13:56:07: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 13:56:13: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 13:56:26: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 13:56:49: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 13:59:56: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:00:08: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:00:12: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:00:19: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:00:27: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 14:00:34: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 14:03:59: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 14:08:18: 	 /task/101 - ::ffff:127.0.0.1
info: Apr-10-2023 14:23:06: 	 /task/101 - ::ffff:127.0.0.1
info: Apr-10-2023 14:23:48: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:24:11: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:24:19: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:24:22: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:24:40: 	 /task/70 - ::ffff:127.0.0.1
info: Apr-10-2023 14:24:52: 	 /task/105 - ::ffff:127.0.0.1
info: Apr-10-2023 14:24:55: 	 /task/101 - ::ffff:127.0.0.1
info: Apr-10-2023 14:26:14: 	 /task/105 - ::ffff:127.0.0.1
info: Apr-10-2023 14:34:11: 	 /task/105 - ::ffff:127.0.0.1
info: Apr-10-2023 14:34:25: 	 /task/105 - ::ffff:127.0.0.1
info: Apr-10-2023 14:34:33: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:34:55: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:34:59: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:35:04: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:35:11: 	 /task/105 - ::ffff:127.0.0.1
info: Apr-10-2023 14:35:16: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:38:59: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:39:03: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:39:09: 	 /task/105 - ::ffff:127.0.0.1
info: Apr-10-2023 14:39:58: 	 /task/105 - ::ffff:127.0.0.1
info: Apr-10-2023 14:40:02: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:40:46: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:40:51: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:40:53: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:40:58: 	 /task/106 - ::ffff:127.0.0.1
info: Apr-10-2023 14:41:02: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:41:09: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:41:13: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:42:58: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:43:04: 	 /task/108 - ::ffff:127.0.0.1
info: Apr-10-2023 14:43:08: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:50:11: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:50:14: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:50:18: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:50:19: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:50:42: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 14:50:47: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:51:10: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:51:14: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:51:17: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:51:57: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 14:52:00: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:54:30: 	 /task/105 - ::ffff:127.0.0.1
info: Apr-10-2023 14:54:35: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:54:42: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:54:45: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:54:50: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:54:56: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:55:15: 	 /task/120 - ::ffff:127.0.0.1
info: Apr-10-2023 14:55:21: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:56:13: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:56:17: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:56:21: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:56:26: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:56:48: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 14:56:51: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 14:57:39: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:00:40: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:00:53: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:00:56: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:01:05: 	 /task/190 - ::ffff:127.0.0.1
info: Apr-10-2023 15:01:10: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:28:15: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:31:02: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:31:06: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:31:09: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 15:33:21: 	 /task/110 - ::ffff:127.0.0.1
info: Apr-10-2023 15:33:59: 	 /task/110 - ::ffff:127.0.0.1
info: Apr-10-2023 15:34:30: 	 /task/110 - ::ffff:127.0.0.1
info: Apr-10-2023 15:39:29: 	 /task/110 - ::ffff:127.0.0.1
info: Apr-10-2023 15:39:53: 	 /task/110 - ::ffff:127.0.0.1
info: Apr-10-2023 15:40:01: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 16:44:19: 	 /task/sort - ::ffff:127.0.0.1
info: Apr-10-2023 16:45:09: 	 /task/sort - ::ffff:127.0.0.1
info: Apr-10-2023 17:30:26: 	 /task/sort - ::ffff:127.0.0.1
info: Apr-10-2023 17:31:13: 	 /task/sort - ::ffff:127.0.0.1
info: Apr-10-2023 17:32:52: 	 /task/sort - ::ffff:127.0.0.1
info: Apr-10-2023 17:33:59: 	 /task/sort - ::ffff:127.0.0.1
info: Apr-10-2023 17:34:25: 	 /task/sort - ::ffff:127.0.0.1
info: Apr-10-2023 17:41:23: 	 /task/sort/taskid - ::ffff:127.0.0.1
info: Apr-10-2023 17:41:41: 	 /task/sort/title - ::ffff:127.0.0.1
info: Apr-10-2023 18:27:55: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 18:28:33: 	 /task - ::ffff:127.0.0.1
info: Apr-10-2023 18:29:01: 	 /task/140 - ::ffff:127.0.0.1
info: Apr-10-2023 18:29:05: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-10-2023 18:29:20: 	 /task/sort/title - ::ffff:127.0.0.1
info: Apr-10-2023 18:30:21: 	 /task/sort/title - ::ffff:127.0.0.1
info: Apr-10-2023 18:30:30: 	 /task/sort/taskid - ::ffff:127.0.0.1
info: Apr-11-2023 06:32:44: 	 /task/filter?title=nodejs - ::ffff:127.0.0.1
info: Apr-11-2023 06:33:03: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 06:34:14: 	 /task/filter?title=nodejs - ::ffff:127.0.0.1
info: Apr-11-2023 06:35:16: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:36:03: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:36:57: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:37:02: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:37:03: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:38:37: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:44:56: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:45:09: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:45:25: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:48:18: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:49:17: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:50:04: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:51:12: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:52:39: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:53:18: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 06:53:36: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 07:01:17: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 07:01:59: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 07:02:55: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 07:03:14: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 07:16:17: 	 /task/filter?title=reactJS - ::ffff:127.0.0.1
info: Apr-11-2023 07:16:36: 	 /task/filter?page=1&limit=2 - ::ffff:127.0.0.1
info: Apr-11-2023 07:16:57: 	 /task/pagination?page=1&limit=2 - ::ffff:127.0.0.1
info: Apr-11-2023 07:17:07: 	 /task/pagination?page=1&limit=4 - ::ffff:127.0.0.1
info: Apr-11-2023 13:34:58: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 13:36:23: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:54:51: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:55:34: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:55:52: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:56:01: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:56:04: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:56:39: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:56:50: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:58:13: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:58:41: 	 /task/100 - ::ffff:127.0.0.1
info: Apr-11-2023 21:58:52: 	 /task/10 - ::ffff:127.0.0.1
info: Apr-11-2023 21:59:08: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 21:59:13: 	 /task/9 - ::ffff:127.0.0.1
info: Apr-11-2023 21:59:34: 	 /task/9 - ::ffff:127.0.0.1
info: Apr-11-2023 22:00:11: 	 /task/10 - ::ffff:127.0.0.1
info: Apr-11-2023 22:00:25: 	 /task/10 - ::ffff:127.0.0.1
info: Apr-11-2023 22:00:49: 	 /task/filter?title=css - ::ffff:127.0.0.1
info: Apr-11-2023 22:01:11: 	 /task/sort/date - ::ffff:127.0.0.1
info: Apr-11-2023 22:01:21: 	 /task/sort/title - ::ffff:127.0.0.1
info: Apr-11-2023 22:01:52: 	 /task/pagination?page=1&limit=2 - ::ffff:127.0.0.1
info: Apr-11-2023 22:02:04: 	 /task/pagination?page=2&limit=2 - ::ffff:127.0.0.1
info: Apr-11-2023 22:08:00: 	 /task/pagination?page=1&limit=2 - ::ffff:127.0.0.1
info: Apr-11-2023 22:08:13: 	 /task/pagination?page=1&limit=1 - ::ffff:127.0.0.1
info: Apr-11-2023 22:08:17: 	 /task/pagination?page=2&limit=1 - ::ffff:127.0.0.1
info: Apr-11-2023 22:08:25: 	 /task/pagination?page=3&limit=1 - ::ffff:127.0.0.1
info: Apr-11-2023 22:53:05: 	 /task - ::ffff:127.0.0.1
info: Apr-11-2023 22:53:12: 	 /task/9 - ::ffff:127.0.0.1
info: Apr-11-2023 22:53:49: 	 /task/9 - ::ffff:127.0.0.1
info: Apr-11-2023 22:55:18: 	 /task/9 - ::ffff:127.0.0.1
error: Apr-11-2023 22:55:18: 	500 - [object Object] - /task/9 - ::ffff:127.0.0.1
info: Apr-11-2023 23:10:10: 	 /user - ::ffff:127.0.0.1
info: Apr-11-2023 23:10:25: 	 /task/filter?title=css - ::ffff:127.0.0.1
